state	min	max	mean	rates	root	lnL	lnL.p	lnL.h
8500	0.043	48.644	0.906	5	NA	-106.6	0	0.69
8500	0.107	35.708	0.818	4	NA	-102.42	-1.75	-3.5
8600	0.043	48.644	0.905	5	NA	-106.18	0	0.69
8600	0.107	35.708	0.741	4	NA	-102.84	0	-0.69
8700	0.056	48.644	0.9	5	NA	-104.14	0	0
8700	0.107	35.708	0.663	4	NA	-102.24	-1.75	-3.5
8800	0.056	48.644	0.9	5	NA	-104.14	-1.98	-3.27
8800	0.107	35.708	0.663	4	NA	-102.24	-1.75	-3.5
8900	0.05	48.644	0.9	6	NA	-101.24	-2.16	-3.08
8900	0.107	35.708	0.818	4	NA	-102.42	0	-0.69
9000	0.018	48.644	0.9	6	NA	-99.92	-2.16	-3.08
9000	0.107	35.708	0.663	4	NA	-102.24	-1.75	-3.5
9100	0.018	48.644	0.905	6	NA	-100.96	0	0.69
9100	0.107	35.708	0.663	4	NA	-102.24	0	-0.49
9200	0.018	48.644	1.62	5	NA	-103.99	-1.98	-3.27
9200	0.07	35.708	0.796	5	NA	-98.26	0	-0.69
9300	0.018	48.644	0.907	5	NA	-100.88	0	-0.69
9300	0.07	35.708	0.785	5	NA	-97.99	0	0
9400	0.055	48.644	0.907	5	NA	-101.16	0	-0.68
9400	0.07	35.708	0.785	5	NA	-97.99	0	-2.02
9500	0.055	48.644	0.907	5	NA	-101.16	0	0
9500	0.07	35.708	0.629	5	NA	-99.39	0	0
9600	0.055	48.644	0.907	5	NA	-101.16	0	-0.42
9600	0.019	35.708	0.785	6	NA	-97.42	0	-0.69
9700	0.055	48.644	0.907	5	NA	-101.16	-1.98	-3.27
9700	0.069	35.708	0.818	5	NA	-97.99	-1.98	-3.27
9800	0.055	48.644	0.907	5	NA	-101.16	-1.98	-3.27
9800	0.069	35.708	0.785	5	NA	-97.88	0	-3.42
9900	0.055	48.644	1.242	5	NA	-103.99	0	0.69
9900	0.069	35.708	0.651	5	NA	-100.49	0	-0.69
10000	0.055	48.644	0.907	5	NA	-101.16	0	-0.91
10000	0.069	35.708	0.629	5	NA	-99.29	0	-0.69
10100	0.055	48.644	1.621	5	NA	-104.57	0	-4.75
10100	0.107	35.708	0.671	5	NA	-101.58	0	-0.46
10200	0.055	48.644	0.907	5	NA	-101.16	0	0
10200	0.11	35.708	0.666	4	NA	-102.45	-1.75	-3.5
10300	0.055	48.644	0.907	5	NA	-101.16	-1.98	-3.27
10300	0.111	35.708	0.744	4	NA	-103.15	0	-1.52
10400	0.055	48.644	0.907	5	NA	-101.16	-1.98	-3.27
10400	0.111	35.708	0.821	4	NA	-102.79	0	-0.69
10500	0.055	48.644	0.907	5	NA	-101.16	0	-1.04
10500	0.111	35.708	0.744	4	NA	-103.15	-1.75	-3.5
10600	0.051	48.644	0.907	6	NA	-98.39	0	-0.69
10600	0.111	35.708	0.667	4	NA	-102.53	0	-0.69
10700	0.02	48.644	0.907	8	NA	-92.21	0	-1
10700	0.111	35.708	0.667	4	NA	-102.53	0	-0.69
10800	0.02	48.644	0.907	8	NA	-92.21	0	-0.69
10800	0.111	35.708	0.744	4	NA	-103.15	0	-3.32
10900	0.02	48.644	0.899	8	NA	-92.73	0	-0.69
10900	0.064	35.708	0.835	5	NA	-101.07	0	0.69
11000	0.02	48.644	0.919	8	NA	-91.26	0	-0.69
11000	0.064	35.708	0.835	5	NA	-101.07	0	0
11100	0.02	48.644	0.919	7	NA	-96.41	-2.31	-2.92
11100	0.064	35.708	0.835	5	NA	-101.07	0	-0.23
11200	0.02	48.644	0.919	7	NA	-96.41	-2.31	-2.92
11200	0.075	35.708	1.333	5	NA	-102.97	0	-0.69
11300	0.02	48.644	0.919	7	NA	-96.41	-2.31	-2.92
11300	0.075	35.708	0.822	5	NA	-100.21	0	-0.69
11400	0.02	48.644	0.942	7	NA	-97.79	0	-4.49
11400	0.075	35.708	1.013	5	NA	-101.61	0	-0.69
11500	0.02	48.644	0.942	7	NA	-97.79	-2.31	-2.92
11500	0.075	35.708	0.822	5	NA	-98.61	0	-0.21
11600	0.017	48.644	0.919	7	NA	-96.19	-2.31	-2.92
11600	0.074	35.708	0.822	6	NA	-98.57	-2.16	-3.08
11700	0.017	48.644	0.919	7	NA	-96.19	-2.31	-2.92
11700	0.029	35.708	0.937	8	NA	-99.83	0	-0.69
11800	0.017	48.644	1.632	7	NA	-99.14	0	-0.43
11800	0.029	35.708	0.916	8	NA	-97.87	0	-0.69
11900	0.02	48.644	0.914	7	NA	-97.99	0	-0.69
11900	0.077	35.708	0.781	7	NA	-100.83	0	-0.66
12000	0.02	48.644	0.928	7	NA	-96.85	0	-1.02
12000	0.082	35.708	0.853	6	NA	-101.27	0	-0.69
12100	0.02	48.644	0.927	7	NA	-98.36	0	-0.7
12100	0.082	35.708	0.921	6	NA	-99.81	0	-0.69
12200	0.02	48.644	0.885	7	NA	-97.22	0	-0.37
12200	0.075	35.708	0.778	7	NA	-99.94	-2.16	-3.08
12300	0.02	48.644	1.228	7	NA	-100.64	-2.31	-2.92
12300	0.118	35.708	0.808	5	NA	-103.53	0	-0.26
12400	0.02	48.644	0.918	8	NA	-93.88	-2.45	-2.78
12400	0.1	35.708	0.791	5	NA	-101.74	0	-0.69
12500	0.02	48.644	0.876	8	NA	-95.81	0	-0.69
12500	0.1	35.708	0.791	5	NA	-101.74	-1.98	-3.27
12600	0.02	48.644	0.876	7	NA	-101.38	0	-0.68
12600	0.1	35.708	0.935	5	NA	-101.65	0	-0.69
12700	0.02	48.644	0.88	7	NA	-100.88	0	-0.69
12700	0.076	35.708	0.777	6	NA	-100.38	0	-0.7
12800	0.02	48.644	0.88	7	NA	-100.88	0	0
12800	0.076	35.708	0.933	6	NA	-99.37	0	-1.19
12900	0.02	48.644	0.909	7	NA	-101.37	-2.31	-2.92
12900	0.076	35.708	0.933	6	NA	-98.75	0	-1.38
13000	0.002	48.644	0.927	8	NA	-97.63	0	-0.69
13000	0.015	35.708	0.945	7	NA	-94.59	0	-1.24
13100	0.002	48.644	0.894	8	NA	-98.88	0	-1.1
13100	0.015	35.708	1.46	7	NA	-98.2	0	-0.69
13200	0.002	48.644	0.93	8	NA	-98.33	0	-0.7
13200	0.015	35.708	0.936	7	NA	-95.63	0	-0.69
13300	0.002	48.644	0.927	8	NA	-97.63	0	0
