state	min	max	mean	rates	root	lnL	lnL.p	lnL.h
12600	0.020	48.644	0.876	7	NA	-101.38	0.00	-0.68
12700	0.020	48.644	0.880	7	NA	-100.88	0.00	-0.69
12800	0.020	48.644	0.880	7	NA	-100.88	0.00	0.00
12900	0.020	48.644	0.909	7	NA	-101.37	-2.31	-2.92
13000	0.002	48.644	0.927	8	NA	-97.63	0.00	-0.69
13100	0.002	48.644	0.894	8	NA	-98.88	0.00	-1.10
13200	0.002	48.644	0.930	8	NA	-98.33	0.00	-0.70
13300	0.002	48.644	0.927	8	NA	-97.63	0.00	-0.00
13400	0.002	48.644	0.904	8	NA	-98.34	0.00	-0.69
13500	0.002	48.644	0.968	8	NA	-99.53	0.00	-0.26
13600	0.002	48.644	0.943	7	NA	-98.52	0.00	0.00
13700	0.045	48.644	0.924	6	NA	-100.56	0.00	-0.79
13800	0.096	48.644	1.259	5	NA	-105.85	-1.98	-3.27
13900	0.086	48.644	0.943	6	NA	-102.46	0.00	-0.87
14000	0.086	48.644	0.943	6	NA	-102.46	-2.16	-3.08
14100	0.086	48.644	0.943	6	NA	-102.50	0.00	-1.96
14200	0.106	48.644	0.958	6	NA	-104.31	-2.16	-3.08
14300	0.106	48.644	0.958	6	NA	-104.31	0.00	-0.69
14400	0.106	48.644	0.939	6	NA	-105.16	0.00	-2.63
14500	0.116	48.644	0.921	5	NA	-108.29	-1.98	-3.27
14600	0.045	48.644	0.904	6	NA	-103.90	-2.16	-3.08
14700	0.045	48.644	0.928	6	NA	-107.44	0.00	0.69
14800	0.045	48.644	0.925	6	NA	-106.10	-2.16	-3.08
14900	0.045	48.644	0.904	6	NA	-103.85	-2.16	-3.08
15000	0.045	48.644	0.904	5	NA	-103.24	1.98	3.27
15100	0.045	48.644	0.878	5	NA	-103.14	0.00	0.00
15200	0.045	48.644	0.883	5	NA	-105.00	0.00	-0.58
15300	0.045	48.644	0.905	5	NA	-103.29	0.00	-0.69
15400	0.034	48.644	0.901	5	NA	-103.41	0.00	-0.20
15500	0.034	48.644	0.901	5	NA	-103.41	0.00	-1.03
15600	0.034	48.644	0.901	5	NA	-103.41	0.00	-0.69
15700	0.034	48.644	0.901	5	NA	-103.41	-1.98	-3.27
15800	0.034	48.644	0.911	5	NA	-106.76	0.00	0.00
15900	0.034	48.644	1.250	5	NA	-107.32	0.00	0.00
16000	0.034	48.644	0.909	5	NA	-106.88	0.00	-0.69
16100	0.034	48.644	0.919	6	NA	-105.01	-2.16	-3.08
16200	0.034	48.644	0.910	6	NA	-103.62	0.00	-0.05
16300	0.034	48.644	0.887	5	NA	-103.67	0.00	0.00
16400	0.034	48.644	0.883	6	NA	-104.46	0.00	-0.69
16500	0.034	48.644	0.904	5	NA	-103.33	0.00	-1.66
16600	0.034	48.644	0.904	6	NA	-104.15	0.00	0.69
16700	0.005	48.644	0.907	7	NA	-98.86	0.00	-0.69
16800	0.005	48.644	0.907	6	NA	-102.67	-2.16	-3.08
16900	0.005	48.644	0.907	7	NA	-99.09	0.00	-2.96
17000	0.088	48.644	0.913	6	NA	-101.80	-2.16	-3.08
17100	0.088	48.644	0.897	6	NA	-104.68	0.00	-0.63
17200	0.088	48.644	1.242	6	NA	-104.13	-2.16	-3.08
17300	0.077	48.644	0.905	6	NA	-101.17	0.00	-0.69
17400	0.077	48.644	0.893	6	NA	-102.81	0.00	-1.36
17500	0.070	48.644	0.898	6	NA	-100.62	1.98	3.27
17600	0.070	48.644	0.874	6	NA	-103.42	0.00	-0.15
17700	0.071	48.644	0.898	5	NA	-100.36	0.00	0.69
17800	0.071	48.644	0.898	5	NA	-100.36	0.00	-0.32
17900	0.071	48.644	0.890	5	NA	-100.37	0.00	-0.69
18000	0.071	48.644	0.872	5	NA	-103.24	0.00	-0.31
18100	0.084	48.644	0.881	4	NA	-106.47	0.00	-0.69
18200	0.084	48.644	0.881	4	NA	-106.47	-1.75	-3.50
18300	0.093	48.644	0.890	4	NA	-106.38	0.00	-0.69
18400	0.025	48.644	0.886	5	NA	-105.70	0.00	0.00
18500	0.025	48.644	0.890	5	NA	-101.31	0.00	-0.85
18600	0.025	48.644	0.890	5	NA	-101.31	0.00	0.69
18700	0.025	48.644	0.890	5	NA	-101.40	0.00	-0.20
18800	0.025	48.644	0.919	6	NA	-101.67	0.00	-3.00
18900	0.025	48.644	0.928	6	NA	-100.67	0.00	0.00
19000	0.102	48.644	0.928	5	NA	-105.54	-1.98	-3.27
19100	0.046	48.644	0.928	6	NA	-99.78	0.00	-0.19
19200	0.093	48.644	0.928	5	NA	-105.64	0.00	-0.37
19300	0.093	48.644	0.928	5	NA	-105.64	0.00	0.00
19400	0.093	48.644	0.928	5	NA	-105.64	0.00	-0.25
19500	0.093	48.644	0.928	5	NA	-105.64	0.00	-0.08
19600	0.093	48.644	0.930	5	NA	-105.65	0.00	-0.69
19700	0.093	48.644	0.930	5	NA	-105.65	0.00	0.00
19800	0.055	48.644	0.930	6	NA	-98.63	-2.16	-3.08
19900	0.055	48.644	0.930	6	NA	-98.63	0.00	-0.69
20000	0.095	48.644	0.915	5	NA	-103.24	0.00	-0.69
20100	0.095	48.644	0.930	5	NA	-102.15	-1.98	-3.27
20200	0.117	48.644	0.915	4	NA	-107.48	0.00	-0.69
20300	0.117	48.644	0.915	4	NA	-107.48	0.00	-2.11
20400	0.117	48.644	0.915	4	NA	-107.39	0.00	-0.33
20500	0.117	48.644	0.915	4	NA	-107.39	0.00	-0.69
20600	0.095	48.644	0.930	5	NA	-102.00	0.00	-1.28
20700	0.095	48.644	0.930	5	NA	-102.00	0.00	-2.96
20800	0.095	48.644	0.930	5	NA	-102.00	0.00	0.69
20900	0.095	48.644	0.930	5	NA	-102.00	0.00	-0.03
21000	0.095	48.644	1.258	5	NA	-104.57	0.00	-0.69
21100	0.095	48.644	0.930	5	NA	-102.00	-1.98	-3.27
21200	0.095	48.644	0.930	5	NA	-102.00	0.00	0.00
21300	0.084	48.644	0.920	5	NA	-101.07	0.00	-0.69
21400	0.084	48.644	0.920	5	NA	-101.07	0.00	-0.79
21500	0.084	48.644	0.920	5	NA	-101.07	-1.98	-3.27
21600	0.084	48.644	0.904	5	NA	-102.47	0.00	-0.19
21700	0.084	48.644	0.919	5	NA	-101.07	0.00	0.69
21800	0.084	48.644	0.919	5	NA	-101.07	0.00	-0.35
21900	0.084	48.644	0.919	5	NA	-101.07	-1.98	-3.27
22000	0.084	48.644	0.919	5	NA	-101.07	0.00	-0.19
22100	0.058	48.644	0.905	6	NA	-102.19	0.00	-2.34
22200	0.058	48.644	0.887	6	NA	-99.28	0.00	-0.69
22300	0.058	48.644	0.887	6	NA	-99.28	-2.16	-3.08
22400	0.058	48.644	0.889	6	NA	-99.71	0.00	-0.69
22500	0.079	48.644	0.887	5	NA	-104.95	0.00	0.00
22600	0.079	48.644	0.887	5	NA	-104.95	0.00	-0.15
22700	0.079	48.644	0.887	5	NA	-104.95	0.00	-2.47
22800	0.078	48.644	0.887	5	NA	-104.96	0.00	-0.69
22900	0.088	48.644	0.886	4	NA	-106.38	0.00	0.00
23000	0.088	48.644	0.886	4	NA	-106.38	0.00	-0.18
23100	0.079	48.644	0.887	5	NA	-101.23	-1.75	-3.50
23200	0.079	48.644	0.887	5	NA	-101.23	0.00	-3.02
23300	0.079	48.644	0.883	5	NA	-102.52	0.00	-0.10
23400	0.079	48.644	0.887	5	NA	-101.23	0.00	-0.69
23500	0.079	48.644	0.887	5	NA	-101.23	0.00	-0.39
23600	0.067	48.644	0.883	6	NA	-100.42	0.00	-0.69
23700	0.067	48.644	0.887	6	NA	-98.64	0.00	-0.26
23800	0.066	48.644	0.887	6	NA	-102.29	0.00	-2.52
23900	0.066	48.644	0.887	6	NA	-102.29	0.00	-0.76
24000	0.107	48.644	0.913	5	NA	-103.59	0.00	-0.69
24100	0.088	48.644	0.913	6	NA	-103.04	-2.16	-3.08
24200	0.088	48.644	0.913	6	NA	-103.04	0.00	-0.69
24300	0.088	48.644	0.913	6	NA	-103.04	0.00	-0.21
24400	0.088	48.644	0.949	6	NA	-104.89	-2.16	-3.08
24500	0.090	48.644	0.906	5	NA	-107.61	0.00	-0.69
24600	0.084	48.644	0.900	5	NA	-107.72	0.00	-0.69
24700	0.084	48.644	0.900	5	NA	-107.72	0.00	0.69
24800	0.084	48.644	0.900	5	NA	-107.72	0.00	-0.69
24900	0.084	48.644	0.900	5	NA	-107.72	-1.98	-3.27
25000	0.084	48.644	0.900	5	NA	-107.72	0.00	-0.78
25100	0.084	48.644	0.900	5	NA	-107.72	0.00	0.00
25200	0.084	48.644	0.900	5	NA	-107.72	0.00	-0.57
25300	0.124	48.644	0.919	4	NA	-107.84	0.00	-0.69
25400	0.124	48.644	0.919	4	NA	-107.84	-1.75	-3.50
25500	0.069	48.644	1.032	6	NA	-104.81	-2.16	-3.08
25600	0.069	48.644	1.036	6	NA	-104.82	0.00	-2.30
25700	0.069	48.644	1.162	6	NA	-105.15	0.00	-0.69
25800	0.069	48.644	1.065	6	NA	-104.66	0.00	-0.96
25900	0.069	48.644	1.192	6	NA	-103.30	0.00	-1.01
26000	0.067	48.644	1.287	6	NA	-103.61	0.00	0.00
26100	0.067	48.644	1.287	6	NA	-103.61	0.00	-0.69
26200	0.067	48.644	1.287	6	NA	-103.61	-2.16	-3.08
26300	0.050	48.644	1.160	7	NA	-102.07	0.00	-1.82
26400	0.050	48.644	1.287	7	NA	-99.49	0.00	-0.73
26500	0.067	48.414	1.188	6	NA	-103.29	-2.16	-3.08
26600	0.074	48.414	1.188	5	NA	-102.63	-1.98	-3.27
26700	0.074	48.414	1.188	5	NA	-102.63	0.00	-0.69
26800	0.074	48.414	0.936	5	NA	-103.31	0.00	-0.16
26900	0.074	48.414	0.936	5	NA	-103.31	-1.98	-3.27
27000	0.074	48.414	1.062	5	NA	-103.75	-1.98	-3.27
27100	0.083	48.414	1.196	5	NA	-103.10	0.00	-0.69
27200	0.060	48.414	1.174	5	NA	-102.72	0.00	0.69
27300	0.060	48.414	1.174	5	NA	-102.72	0.00	-0.68
27400	0.060	48.414	1.174	5	NA	-102.72	-1.98	-3.27
27500	0.060	48.414	1.174	5	NA	-102.72	0.00	-0.69
27600	0.060	48.414	2.215	5	NA	-108.90	0.00	-0.69
27700	0.060	48.414	1.174	5	NA	-102.72	0.00	0.00
27800	0.060	48.414	1.174	5	NA	-102.72	0.00	-0.69
27900	0.060	48.414	0.921	5	NA	-104.48	0.00	-1.89
28000	0.058	48.414	1.046	5	NA	-104.78	0.00	0.00
28100	0.058	48.414	1.189	5	NA	-102.89	0.00	-0.29
28200	0.058	48.414	1.063	5	NA	-104.85	0.00	-0.27
28300	0.058	48.414	1.199	5	NA	-102.93	0.00	-0.69
28400	0.058	48.414	0.926	5	NA	-104.75	0.00	-0.69
28500	0.058	48.414	0.926	5	NA	-104.75	-1.98	-3.27
28600	0.058	48.414	1.061	5	NA	-104.84	0.00	-1.06
28700	0.058	48.414	1.195	5	NA	-102.92	0.00	-0.69
28800	0.058	48.414	1.195	5	NA	-102.92	0.00	-0.69
28900	0.129	48.414	0.928	4	NA	-108.25	0.00	-0.19
29000	0.078	48.414	0.928	5	NA	-100.84	0.00	-0.69
29100	0.078	48.414	0.928	5	NA	-100.85	0.00	-1.61
29200	0.078	48.414	0.928	5	NA	-100.85	0.00	0.00
29300	0.078	48.414	0.928	5	NA	-100.85	0.00	0.00
29400	0.078	48.414	0.928	5	NA	-100.85	0.00	-0.51
29500	0.070	48.414	0.921	5	NA	-100.57	0.00	-0.90
29600	0.070	48.414	1.250	5	NA	-103.23	0.00	-0.69
29700	0.070	48.414	0.916	5	NA	-100.51	0.00	0.00
29800	0.070	48.414	0.916	5	NA	-100.51	0.00	-0.69
29900	0.070	48.173	0.914	5	NA	-100.50	-1.98	-3.27
30000	0.070	48.173	0.878	5	NA	-103.06	-1.98	-3.27
30100	0.070	48.499	0.916	5	NA	-100.51	0.00	-1.76
30200	0.070	48.499	0.916	5	NA	-100.51	0.00	-0.69
30300	0.070	48.499	0.916	5	NA	-100.51	-1.98	-3.27
30400	0.066	48.499	0.913	5	NA	-100.50	-1.98	-3.27
