"","gene_fam","fisherPvalues_Capybara","fisherPvalues_Capybara_Bonferroni"
"220","PTHR26452:SF434",1,1
"221","PTHR31514:SF2",0.267028217501506,1
"222","PTHR20515:SF8",0.566203084715547,1
"223","PTHR24041:SF27",1,1
"224","PTHR23244:SF343",0.283966834292859,1
"225","PTHR10408:SF18",1,1
"226","PTHR21136:SF124",0.624705663462955,1
"227","PTHR10653:SF12",0.470765688157878,1
"228","PTHR14742",0.566203084715547,1
"229","PTHR23193:SF36",1,1
"230","PTHR21257:SF44",1,1
"231","PTHR12223:SF34",1,1
"232","PTHR23220:SF94",0.566203084715547,1
"233","PTHR23215:SF1",0.373130008629335,1
"234","PTHR24326:SF431",1,1
"235","PTHR14247:SF17",1,1
"236","PTHR23113:SF242",0.378281556025855,1
"237","PTHR24381:SF224",1,1
"238","PTHR11566:SF112",0.134564200878779,1
"239","PTHR10270:SF273",1,1
"240","PTHR22880:SF215",1,1
"241","PTHR18937:SF308",1,1
"242","PTHR10857:SF79",1,1
"243","PTHR13999:SF20",1,1
"244","PTHR23319:SF21",0.135694543225582,1
"245","PTHR21083:SF1",0.511231209360091,1
"246","PTHR16024:SF12",0.511231209360091,1
"247","PTHR11347:SF161",1,1
"248","PTHR26452:SF687",0.272513514346396,1
"249","PTHR10288:SF183",0.194276519028583,1
"250","PTHR19229:SF178",1,1
"251","PTHR24365:SF445",1,1
"252","PTHR11911:SF111",1,1
"253","PTHR12490:SF7",1,1
"254","PTHR31036",1,1
"255","PTHR13518:SF2",1,1
"256","PTHR13809:SF36",0.491400715750939,1
"257","PTHR14972:SF11",1,1
"258","PTHR13952:SF8",0.614992500428838,1
"259","PTHR11501:SF19",0.135865951768179,1
"260","PTHR10110:SF151",0.674265203756203,1
"261","PTHR14611:SF6",0.599371683754074,1
"262","PTHR11905:SF163",1,1
"263","PTHR24416:SF429",1,1
"264","PTHR26450:SF294",0.16819933917042,1
"265","PTHR23113:SF266",0.332787909762662,1
"266","PTHR19269:SF52",0.0544602286627576,1
"267","PTHR37359",0.639611418007976,1
"268","PTHR10174:SF165",1,1
"269","PTHR12011:SF398",0.266729953373746,1
"270","PTHR10196:SF86",1,1
"271","PTHR19229:SF175",0.407694426940319,1
"272","PTHR11662:SF378",1,1
"273","PTHR24418:SF348",0.415681666169693,1
"274","PTHR22800:SF195",1,1
"275","PTHR17102",0.62567208828275,1
"276","PTHR13793:SF104",0.121557274601599,1
"277","PTHR24377:SF520",1,1
"278","PTHR24409:SF187",0.724946943483498,1
"279","PTHR23257:SF609",1,1
"280","PTHR11753:SF28",0.398412449582303,1
"281","PTHR11461:SF254",1,1
"282","PTHR24361:SF452",1,1
"283","PTHR15073:SF7",0.730432670201548,1
"284","PTHR21838:SF3",0.583117115443178,1
"285","PTHR12162",0.403320256849508,1
"286","PTHR24377:SF387",1,1
"287","PTHR11697:SF142",0.331677662408102,1
"288","PTHR14611:SF8",1,1
"289","PTHR23280:SF39",0.0241659852821705,1
"290","PTHR12959",1,1
"291","PTHR11467:SF66",0.491400715750939,1
"292","PTHR12659:SF11",0.716797081497672,1
"293","PTHR10751:SF60",1,1
"294","PTHR19282:SF284",1,1
"295","PTHR21696:SF3",0.593809600674445,1
"296","PTHR12294:SF18",0.27068120745534,1
"297","PTHR23155:SF728",1,1
"298","PTHR10454:SF185",0.189303503474187,1
"299","PTHR22427:SF4",1,1
"300","PTHR10881:SF53",0.191005342269148,1
"301","PTHR16021:SF12",1,1
"302","PTHR31367:SF10",1,1
"303","PTHR14038:SF8",0.190259796257106,1
"304","PTHR10641:SF770",0.588878375068606,1
"305","PTHR24082:SF460",1,1
"306","PTHR16165:SF14",0.431390369977298,1
"307","PTHR40657:SF2",0.212285440913844,1
"308","PTHR10972:SF126",0.190259796257106,1
"309","PTHR19282:SF299",1,1
"310","PTHR42758:SF3",1,1
"311","PTHR26453:SF442",1,1
"312","PTHR23239:SF263",0.705866601641367,1
"313","PTHR22835:SF386",1,1
"314","PTHR24293:SF5",0.583117115443178,1
"315","PTHR19229:SF160",1,1
"316","PTHR15999:SF8",0.54860283777153,1
"317","PTHR23272:SF58",1,1
"318","PTHR19282:SF306",1,1
"319","PTHR10489:SF798",0.00186960681565381,1
"320","PTHR11249:SF6",0.405878132827476,1
"321","PTHR12566:SF14",0.724388147246574,1
"322","PTHR12128:SF36",1,1
"323","PTHR12847:SF9",0.624705663462955,1
"324","PTHR14699:SF7",1,1
"325","PTHR24093:SF366",0.771450871067954,1
"326","PTHR26452:SF664",1,1
"327","PTHR23086:SF81",1,1
"328","PTHR13273",0.636353821173325,1
"329","PTHR24387:SF267",1,1
"330","PTHR22702",1,1
"331","PTHR19957:SF141",0.566203084715547,1
"332","PTHR15508:SF11",1,1
"333","PTHR12231:SF201",0.53028853548174,1
"334","PTHR13318:SF1",1,1
"335","PTHR24031:SF346",0.566203084715547,1
"336","PTHR26451:SF788",7.19600308171199e-08,0.00166299631218364
"337","PTHR26452:SF567",0.0619048881418599,1
"338","PTHR12751:SF24",0.48161926063836,1
"339","PTHR11412:SF116",1,1
"340","PTHR12166:SF11",0.270608634110208,1
"341","PTHR24381",0.287720923034017,1
"342","PTHR21712:SF40",1,1
"343","PTHR24006:SF553",1,1
"344","PTHR11640:SF70",0.674265203756203,1
"345","PTHR22988:SF41",0.332787909762662,1
"346","PTHR15592:SF13",0.398412449582303,1
"347","PTHR12505:SF37",1,1
"348","PTHR24418:SF275",0.0235209234854731,1
"349","PTHR24356:SF274",0.135694543225582,1
"350","PTHR24418:SF315",1,1
"351","PTHR32261:SF12",0.470765688157878,1
"352","PTHR22904:SF452",0.628684760565179,1
"353","PTHR12011:SF355",0.00723867465982394,1
"354","PTHR15832:SF2",0.765653391746586,1
"355","PTHR21694:SF32",1,1
"356","PTHR42984:SF1",0.52105559040076,1
"357","PTHR10901:SF27",0.511231209360091,1
"358","PTHR26453:SF421",0.114143440891036,1
"359","PTHR14087:SF10",0.727733593409787,1
"360","PTHR15756:SF8",1,1
"361","PTHR24381:SF179",0.624705663462955,1
"362","PTHR11915:SF396",0.275700906066959,1
"363","PTHR11955:SF120",0.583117115443178,1
"364","PTHR14430:SF5",0.724028649237062,1
"365","PTHR24373:SF203",1,1
"366","PTHR24073:SF662",1,1
"367","PTHR11905:SF178",1,1
"368","PTHR19134:SF343",0.272092802497134,1
"369","PTHR23503:SF90",1,1
"370","PTHR24056:SF313",0.722285096914876,1
"371","PTHR24027:SF387",0.254709937353274,1
"372","PTHR23194:SF21",1,1
"373","PTHR10261:SF6",1,1
"374","PTHR14380:SF10",1,1
"375","PTHR11736:SF92",0.126869031030825,1
"376","PTHR22916:SF40",0.281979781705633,1
"377","PTHR12420:SF34",1,1
"378","PTHR13601",0.376823142355783,1
"379","PTHR22780:SF36",0.341977052485756,1
"380","PTHR11255:SF58",0.0475749134438502,1
"381","PTHR16161",1,1
"382","PTHR24300:SF262",0.583117115443178,1
"383","PTHR14145:SF6",0.53028853548174,1
"384","PTHR11254:SF392",1,1
"385","PTHR15186:SF9",1,1
"386","PTHR11480:SF55",1,1
"387","PTHR11960:SF27",0.730432670201548,1
"388","PTHR15532:SF8",0.566203084715547,1
"389","PTHR11239:SF17",1,1
"390","PTHR34924:SF2",0.53028853548174,1
"391","PTHR24349:SF196",0.534910776909771,1
"392","PTHR14517:SF14",1,1
"393","PTHR19325:SF466",0.566203084715547,1
"394","PTHR23503:SF80",0.614992500428838,1
"395","PTHR26452:SF644",1,1
"396","PTHR10876",0.53028853548174,1
"397","PTHR21230:SF38",0.566203084715547,1
"398","PTHR11955:SF99",1,1
"399","PTHR23119:SF44",0.534910776909771,1
"400","PTHR23326",0.0980335157512257,1
"401","PTHR11947:SF28",1,1
"402","PTHR14095:SF11",0.0112916419851514,1
"403","PTHR18937:SF315",0.298561654218911,1
"404","PTHR10535",0.566203084715547,1
"405","PTHR24234:SF8",1,1
"406","PTHR13107:SF3",0.583117115443178,1
"407","PTHR21726:SF55",0.659842220845539,1
"408","PTHR22406:SF8",1,1
"409","PTHR10551:SF18",1,1
"410","PTHR21304:SF4",0.566203084715547,1
"411","PTHR21637:SF8",0.373860926774968,1
"412","PTHR31514",0.381864692352296,1
"413","PTHR22884:SF415",1,1
